administration,data_year,state_abbr,victims
Obama 2nd Term,2015,AR,6
Obama 2nd Term,2015,AZ,276
Obama 2nd Term,2015,CA,837
Obama 2nd Term,2015,CO,107
Obama 2nd Term,2015,CT,93
Obama 2nd Term,2015,DC,65
Obama 2nd Term,2015,DE,11
Obama 2nd Term,2015,FL,72
Obama 2nd Term,2015,GA,44
Obama 2nd Term,2015,GM,1
Obama 2nd Term,2015,IA,6
Obama 2nd Term,2015,ID,34
Obama 2nd Term,2015,IL,90
Obama 2nd Term,2015,IN,63
Obama 2nd Term,2015,KS,62
Obama 2nd Term,2015,KY,188
Obama 2nd Term,2015,LA,40
Obama 2nd Term,2015,MA,416
Obama 2nd Term,2015,MD,41
Obama 2nd Term,2015,ME,38
Obama 2nd Term,2015,MI,309
Obama 2nd Term,2015,MN,109
Obama 2nd Term,2015,MO,100
Obama 2nd Term,2015,MT,45
Obama 2nd Term,2015,NB,19
Obama 2nd Term,2015,NC,161
Obama 2nd Term,2015,ND,36
Obama 2nd Term,2015,NH,13
Obama 2nd Term,2015,NJ,330
Obama 2nd Term,2015,NM,13
Obama 2nd Term,2015,NV,58
Obama 2nd Term,2015,NY,500
Obama 2nd Term,2015,OH,416
Obama 2nd Term,2015,OK,37
Obama 2nd Term,2015,OR,88
Obama 2nd Term,2015,PA,57
Obama 2nd Term,2015,RI,18
Obama 2nd Term,2015,SC,57
Obama 2nd Term,2015,SD,16
Obama 2nd Term,2015,TN,221
Obama 2nd Term,2015,TX,191
Obama 2nd Term,2015,UT,47
Obama 2nd Term,2015,VA,158
Obama 2nd Term,2015,VT,8
Obama 2nd Term,2015,WA,275
Obama 2nd Term,2015,WI,45
Obama 2nd Term,2015,WV,42
Obama 2nd Term,2015,WY,2
Obama 2nd Term,2016,AK,11
Obama 2nd Term,2016,AL,14
Obama 2nd Term,2016,AR,12
Obama 2nd Term,2016,AZ,217
Obama 2nd Term,2016,CA,931
Obama 2nd Term,2016,CO,105
Obama 2nd Term,2016,CT,108
Obama 2nd Term,2016,DC,115
Obama 2nd Term,2016,DE,15
Obama 2nd Term,2016,FL,110
Obama 2nd Term,2016,GA,39
Obama 2nd Term,2016,IA,17
Obama 2nd Term,2016,ID,27
Obama 2nd Term,2016,IL,110
Obama 2nd Term,2016,IN,78
Obama 2nd Term,2016,KS,52
Obama 2nd Term,2016,KY,214
Obama 2nd Term,2016,LA,26
Obama 2nd Term,2016,MA,399
Obama 2nd Term,2016,MD,39
Obama 2nd Term,2016,ME,41
Obama 2nd Term,2016,MI,406
Obama 2nd Term,2016,MN,119
Obama 2nd Term,2016,MO,89
Obama 2nd Term,2016,MS,20
Obama 2nd Term,2016,MT,21
Obama 2nd Term,2016,NB,31
Obama 2nd Term,2016,NC,148
Obama 2nd Term,2016,ND,13
Obama 2nd Term,2016,NH,29
Obama 2nd Term,2016,NJ,282
Obama 2nd Term,2016,NM,26
Obama 2nd Term,2016,NV,41
Obama 2nd Term,2016,NY,595
Obama 2nd Term,2016,OH,471
Obama 2nd Term,2016,OK,35
Obama 2nd Term,2016,OR,107
Obama 2nd Term,2016,PA,66
Obama 2nd Term,2016,RI,12
Obama 2nd Term,2016,SC,30
Obama 2nd Term,2016,SD,18
Obama 2nd Term,2016,TN,149
Obama 2nd Term,2016,TX,179
Obama 2nd Term,2016,UT,67
Obama 2nd Term,2016,VA,127
Obama 2nd Term,2016,VT,25
Obama 2nd Term,2016,WA,395
Obama 2nd Term,2016,WI,39
Obama 2nd Term,2016,WV,41
